Trial,accuracy,precision,recall,f1,n_features
1,0.7285714285714285,0.625,0.43478260869565216,0.5128205128205128,41
2,0.7,0.5714285714285714,0.34782608695652173,0.43243243243243246,45
3,0.7,0.625,0.21739130434782608,0.3225806451612903,42
4,0.6857142857142857,0.5294117647058824,0.391304347826087,0.45,39
5,0.7,0.5625,0.391304347826087,0.46153846153846156,45
6,0.7142857142857143,0.6363636363636364,0.30434782608695654,0.4117647058823529,36
7,0.7142857142857143,0.5789473684210527,0.4782608695652174,0.5238095238095238,42
8,0.6714285714285714,0.5,0.34782608695652173,0.41025641025641024,47
9,0.6142857142857143,0.4166666666666667,0.43478260869565216,0.425531914893617,47
10,0.6285714285714286,0.36363636363636365,0.17391304347826086,0.23529411764705882,45
11,0.7142857142857143,0.5882352941176471,0.43478260869565216,0.5,45
12,0.6857142857142857,0.5263157894736842,0.43478260869565216,0.47619047619047616,52
13,0.6714285714285714,0.5,0.34782608695652173,0.41025641025641024,34
14,0.7428571428571429,0.6666666666666666,0.43478260869565216,0.5263157894736842,47
15,0.6428571428571429,0.4166666666666667,0.21739130434782608,0.2857142857142857,44
16,0.6285714285714286,0.38461538461538464,0.21739130434782608,0.2777777777777778,44
17,0.6857142857142857,0.5294117647058824,0.391304347826087,0.45,42
18,0.6571428571428571,0.47058823529411764,0.34782608695652173,0.4,34
19,0.6857142857142857,0.5333333333333333,0.34782608695652173,0.42105263157894735,42
20,0.6714285714285714,0.5,0.34782608695652173,0.41025641025641024,39
average,0.682142857142857,0.5262393753047778,0.35217391304347817,0.41717962528448266,42.6
